kod,nazev,voliciVSeznamu,vydaneObalky,platneHlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
506761,Alojzov,205,145,144,29,0,0,9,0,5,17,4,1,1,0,0,18,0,5,32,0,0,6,0,0,1,1,15,0
589268,Bedihošť,834,527,524,51,0,0,28,1,13,123,2,2,14,1,0,34,0,6,140,0,0,26,0,0,0,0,82,1
589276,Bílovice-Lutotín,294,178,174,11,0,0,20,0,5,22,1,0,2,0,0,16,0,2,58,0,0,10,0,0,0,1,26,0
589276,Bílovice-Lutotín,137,101,101,2,0,0,12,0,3,18,0,0,2,0,0,14,0,1,25,0,0,12,0,0,0,0,12,0
589284,Biskupice,238,132,131,14,0,0,9,0,5,24,2,1,1,0,0,10,2,0,34,0,0,10,0,0,0,0,19,0
589292,Bohuslavice,376,236,236,20,0,0,23,0,3,22,3,4,6,0,1,17,0,4,53,1,1,39,0,0,3,0,36,0
589306,Bousín,107,67,67,5,0,0,4,0,3,14,0,2,0,0,0,7,0,2,10,0,0,9,0,0,0,0,11,0
589314,Brodek u Konice,626,408,408,23,0,0,29,0,19,41,3,3,5,0,0,33,1,5,127,0,0,55,1,0,1,0,60,2
589314,Brodek u Konice,69,52,52,2,0,0,3,0,1,6,0,1,0,0,0,5,0,0,17,0,0,5,0,0,0,0,12,0
589322,Brodek u Prostějova,1122,607,606,50,0,0,39,0,20,55,5,4,11,1,2,53,0,21,192,0,1,47,0,1,3,3,96,2
589322,Brodek u Prostějova,102,49,49,4,0,0,3,0,1,6,0,0,0,0,0,4,0,1,10,0,0,6,2,0,0,1,11,0
589331,Březsko,178,111,111,9,1,0,9,0,6,3,0,3,1,0,0,10,1,2,36,0,0,17,0,0,0,0,13,0
589349,Budětsko,331,208,206,6,0,0,24,0,6,22,1,3,2,0,0,7,1,3,58,0,1,32,0,1,2,0,35,2
589357,Buková,264,170,169,16,0,0,19,0,3,33,2,0,3,0,0,14,0,2,35,1,0,25,0,1,0,0,15,0
589365,Čehovice,426,281,280,16,0,0,27,0,8,42,5,7,5,0,0,18,0,10,80,0,1,13,0,0,1,3,44,0
589381,Čechy pod Kosířem,814,512,512,25,1,0,66,1,20,79,7,7,6,0,0,31,2,7,140,0,0,47,0,0,0,3,70,0
589390,Čelčice,437,272,272,21,0,0,23,1,10,46,5,0,3,0,1,18,0,2,74,0,1,15,0,0,1,1,49,1
589403,Čelechovice na Hané,830,495,489,43,0,1,37,0,51,63,2,2,0,1,0,29,0,9,143,0,2,23,0,1,0,6,76,0
589403,Čelechovice na Hané,106,71,70,1,0,0,1,0,5,7,0,1,0,0,0,10,0,2,31,0,0,4,0,0,0,0,8,0
589403,Čelechovice na Hané,127,83,83,5,0,0,7,0,7,6,0,0,0,0,0,4,0,4,24,0,0,5,0,0,0,0,19,2
589420,Dětkovice,427,284,281,19,0,0,12,0,6,47,2,4,4,1,0,38,0,2,82,0,0,36,0,2,0,1,25,0
589438,Dobrochov,270,172,170,13,0,0,14,1,7,13,5,2,3,0,0,13,0,5,51,0,1,17,0,0,0,0,25,0
589446,Dobromilice,629,308,308,9,0,4,22,0,14,42,1,0,1,0,0,10,0,0,95,1,1,36,2,0,0,0,68,2
589454,Doloplazy,459,244,244,24,1,0,20,0,5,37,2,0,3,0,0,12,0,0,71,0,0,8,1,1,2,1,56,0
589462,Drahany,443,290,287,11,0,0,29,0,28,44,2,6,6,0,0,9,0,9,70,0,2,17,0,1,1,1,51,0
558419,Držovice,1 139,748,742,78,1,0,42,3,40,45,4,6,5,0,9,60,0,15,275,0,2,38,0,4,1,5,102,7
589489,Dřevnovice,380,220,219,6,0,0,15,0,4,28,1,1,0,0,0,24,0,2,68,0,0,32,0,0,0,0,38,0
589497,Dzbel,209,133,133,2,1,0,11,0,5,22,0,1,1,0,0,6,0,0,50,0,0,24,0,0,2,0,8,0
549967,Hačky,83,67,65,4,0,1,10,1,4,0,0,0,3,0,0,0,1,1,12,0,0,18,0,0,3,0,5,2
589501,Hluchov,292,174,173,9,0,0,9,0,4,25,5,0,6,0,0,7,0,1,61,0,0,9,0,0,0,1,36,0
589519,Horní Štěpánov,681,414,412,16,0,0,42,0,10,38,1,3,1,0,1,40,0,5,126,0,0,60,4,0,2,2,60,1
589519,Horní Štěpánov,68,40,40,0,0,0,14,0,0,10,0,1,0,0,0,1,0,0,4,0,0,4,0,0,0,0,6,0
589527,Hradčany-Kobeřice,166,99,98,6,0,0,7,0,1,11,1,0,0,0,1,6,0,1,30,0,0,10,0,0,1,1,22,0
589527,Hradčany-Kobeřice,160,97,96,5,0,0,9,0,4,13,0,0,1,1,0,8,0,0,20,0,0,4,0,0,2,2,27,0
589535,Hrdibořice,178,109,109,12,0,0,3,0,2,22,1,0,3,0,0,10,0,3,27,0,0,5,0,0,0,0,20,1
589543,Hrubčice,617,376,374,35,0,0,24,0,14,44,0,4,4,0,0,35,0,9,129,0,0,28,0,0,2,3,41,2
543543,Hruška,191,90,88,3,0,0,1,0,4,18,0,0,0,0,0,4,0,1,33,0,0,6,0,0,0,1,17,0
589560,Hvozd,353,231,228,10,1,0,27,0,9,27,1,5,0,0,0,25,0,3,63,0,0,40,0,0,1,0,16,0
589560,Hvozd,70,39,38,4,0,0,1,0,2,8,0,1,3,0,0,0,0,1,8,0,1,2,0,0,0,0,5,2
589560,Hvozd,101,70,70,2,0,0,6,0,3,7,1,1,1,0,1,5,0,1,8,0,0,17,1,0,0,0,15,1
589578,Ivaň,390,238,237,32,0,0,7,0,1,36,1,3,0,0,0,15,0,9,63,0,0,23,0,0,1,0,44,2
589586,Jesenec,246,139,139,6,2,0,9,0,4,14,0,4,0,0,2,5,0,5,43,0,0,16,0,3,0,2,24,0
589594,Kladky,289,140,140,7,3,0,17,0,2,17,0,3,2,0,2,9,0,3,30,0,0,24,1,0,1,1,17,1
589608,Klenovice na Hané,654,355,354,13,2,0,17,1,7,61,1,0,5,1,0,31,0,2,125,1,0,29,0,0,0,0,52,6
589616,Klopotovice,238,165,165,6,0,0,20,0,5,33,3,0,0,1,1,10,0,1,39,0,0,17,0,1,1,0,27,0
589624,Konice,945,585,552,33,2,0,76,1,23,69,9,2,3,0,1,47,0,15,95,0,1,78,2,1,0,22,69,3
589624,Konice,846,493,491,41,1,0,51,0,31,45,1,5,10,0,0,31,1,20,116,0,2,83,0,1,0,1,49,2
589624,Konice,129,87,87,5,0,0,5,0,5,5,2,1,0,0,0,2,0,0,30,0,0,17,0,1,1,0,13,0
589624,Konice,150,93,93,7,0,0,13,0,2,10,2,0,0,0,0,1,0,1,17,0,0,14,0,0,1,0,25,0
589624,Konice,114,70,70,2,0,0,6,1,8,12,0,0,0,0,0,4,0,1,12,0,0,5,0,0,0,0,19,0
589624,Konice,101,65,65,3,0,0,7,0,0,13,0,0,2,0,0,9,1,2,8,0,0,2,0,0,0,0,18,0
589632,Kostelec na Hané,1354,745,741,46,0,0,60,0,33,47,13,3,7,0,3,60,2,38,228,0,0,83,0,1,1,4,110,2
589632,Kostelec na Hané,948,589,582,51,0,0,70,1,14,39,9,6,3,0,2,52,0,15,161,0,0,53,0,6,3,0,93,4
589641,Koválovice-Osíčany,232,152,151,4,0,0,14,1,3,25,1,0,3,0,0,5,0,1,33,0,4,30,0,0,0,0,27,0
589659,Kralice na Hané,1 257,807,804,96,1,2,53,2,39,57,5,9,4,2,0,69,0,19,250,1,1,60,2,2,1,6,116,7
589667,Krumsín,465,284,284,22,0,0,30,1,8,34,1,0,0,1,0,22,0,4,64,0,0,52,0,2,0,0,42,1
589675,Laškov,408,278,277,11,1,0,16,1,9,23,2,0,4,0,0,19,0,9,79,0,0,63,0,3,3,1,32,1
589675,Laškov,79,57,57,4,0,0,2,0,0,7,1,0,1,0,0,4,0,1,24,0,0,8,0,0,0,0,5,0
589683,Lešany,320,196,194,22,1,0,10,0,2,17,7,2,5,0,0,11,2,0,69,0,0,16,0,1,1,3,24,1
589691,Lipová,376,270,270,17,0,0,19,0,6,24,0,1,3,0,0,14,0,6,90,0,0,58,0,0,0,0,32,0
589691,Lipová,159,116,115,2,0,0,16,0,6,24,0,0,1,0,0,6,0,0,28,0,0,23,0,0,0,0,9,0
589691,Lipová,80,64,64,5,0,0,4,0,4,3,1,0,0,0,0,1,0,2,14,0,0,21,0,0,0,0,9,0
589705,Ludmírov,228,98,98,6,0,0,11,0,5,8,0,0,0,0,0,4,0,3,38,0,0,11,0,0,0,1,11,0
589705,Ludmírov,74,45,45,1,0,0,4,0,2,9,0,0,0,0,0,2,0,0,15,0,0,4,0,0,0,0,8,0
589705,Ludmírov,67,33,33,3,0,0,4,0,2,8,0,1,3,0,0,2,0,0,7,0,0,2,0,0,0,0,1,0
589705,Ludmírov,111,63,63,1,0,0,6,0,2,3,0,1,0,0,0,2,0,0,22,0,0,17,0,0,0,0,9,0
589713,Malé Hradisko,309,185,185,18,0,3,19,0,13,23,3,1,0,0,0,7,0,1,38,0,0,27,0,2,0,0,28,2
589721,Mořice,422,226,223,8,0,0,20,0,22,39,2,2,1,0,0,9,0,1,66,0,0,13,0,1,0,0,39,0
589730,Mostkovice,1 248,842,836,98,1,1,55,0,23,59,7,2,3,0,2,58,0,21,299,1,1,49,0,3,0,4,141,8
589748,Myslejovice,307,172,172,13,0,0,15,0,3,24,0,2,0,1,0,15,0,2,51,0,0,16,0,0,0,2,28,0
589748,Myslejovice,107,88,88,2,0,0,9,0,3,18,1,0,0,1,0,22,0,0,18,0,0,0,0,0,1,1,12,0
589748,Myslejovice,155,111,110,16,0,0,7,0,4,12,1,1,0,0,0,10,0,0,26,0,0,2,0,0,0,0,31,0
589756,Němčice nad Hanou,663,421,421,25,1,1,49,0,11,48,4,1,2,1,0,19,2,9,132,0,1,24,1,0,2,3,85,0
589756,Němčice nad Hanou,949,521,518,54,0,3,47,0,12,62,2,5,2,2,1,25,1,15,132,0,1,55,0,6,0,2,91,0
589764,Nezamyslice,1 140,619,615,51,2,0,56,0,27,58,4,6,2,1,1,35,1,16,205,0,0,57,1,0,0,3,89,0
589772,Niva,257,160,160,6,0,0,26,0,7,32,1,1,2,0,0,10,0,0,41,0,0,12,0,0,0,1,21,0
589799,Obědkovice,207,95,94,3,0,0,6,0,1,17,0,1,2,0,0,1,0,4,30,0,0,5,0,0,0,1,23,0
589802,Ohrozim,370,267,266,30,0,0,20,1,10,18,0,1,3,1,0,21,0,8,56,0,2,51,0,0,0,3,40,1
589811,Ochoz,152,102,99,9,0,0,4,0,2,8,0,0,1,0,0,3,0,4,25,0,0,31,0,0,6,1,5,0
589829,Olšany u Prostějova,1243,766,761,69,0,0,69,0,16,50,12,9,9,5,0,59,1,19,256,0,3,41,0,10,1,3,124,5
589829,Olšany u Prostějova,132,78,78,3,0,0,6,0,1,6,3,0,0,0,0,5,0,0,37,0,0,0,0,2,0,0,14,1
589837,Ondratice,289,173,171,9,0,1,10,0,4,28,0,5,2,0,1,12,0,2,36,0,0,30,0,2,0,0,28,1
589845,Otaslavice,1 029,650,647,81,2,0,66,0,9,74,3,4,2,0,4,59,2,16,156,2,0,56,0,2,0,3,106,0
589853,Otinoves,229,144,143,3,0,0,8,0,3,17,0,0,0,0,0,20,0,5,40,0,0,25,0,0,2,2,18,0
557196,Pavlovice u Kojetína,232,135,134,4,0,0,12,0,11,21,0,1,1,0,0,6,0,1,44,0,0,12,0,0,1,0,19,1
589870,Pěnčín,594,352,349,18,2,2,22,1,12,37,2,2,3,0,0,15,0,4,113,1,1,41,0,1,2,1,68,1
589888,Pivín,565,382,381,19,0,0,13,1,23,24,1,3,5,0,1,20,0,10,118,0,0,64,0,0,1,1,77,0
589896,Plumlov,674,423,422,51,0,1,35,0,8,32,6,0,5,2,0,41,0,17,108,1,0,40,0,2,2,1,69,1
589896,Plumlov,715,425,425,43,0,1,36,0,8,47,4,1,4,0,2,43,1,11,114,0,0,35,0,1,0,0,74,0
